x,y,z
-48,-36,5328.22
-48,-35,5208.0
-48,-34,5091.27
-48,-33,4977.04
-48,-32,4864.99
-48,-31,4752.92
-48,-30,4645.52
-48,-29,4536.86
-48,-28,4431.48
-48,-27,4328.66
-48,-26,4228.42
-48,-25,4128.77
-48,-24,4031.73
-48,-23,3937.23
-48,-22,3846.39
-48,-21,3752.16
-48,-20,3663.27
-48,-19,3575.85
-48,-18,3492.52
-48,-17,3409.16
-48,-16,3327.4
-48,-15,3249.02
-48,-14,3172.42
-48,-13,3098.02
-48,-12,3023.21
-48,-11,2953.43
-48,-10,2884.45
-48,-9,2818.41
-48,-8,2752.03
-48,-7,2690.37
-48,-6,2627.07
-48,-5,2568.2
-48,-4,2510.94
-48,-3,2456.72
-48,-2,2404.31
-48,-1,2353.3
-48,0,2305.18
-48,1,2258.86
-48,2,2212.68
-48,3,2169.73
-48,4,2128.17
-48,5,2088.63
-48,6,2052.46
-48,7,2017.97
-48,8,1983.39
-48,9,1952.61
-48,10,1925.69
-48,11,1894.74
-48,12,1872.16
-48,13,1850.37
-48,14,1828.32
-48,15,1807.59
-48,16,1792.31
-48,17,1777.64
-48,18,1763.3
-48,19,1751.97
-48,20,1744.22
-48,21,1736.35
-48,22,1730.65
-48,23,1728.91
-48,24,1728.45
-48,25,1727.85
-48,26,1732.43
-48,27,1737.39
-48,28,1743.97
-48,29,1753.69
-48,30,1764.63
-48,31,1777.51
-48,32,1791.24
-48,33,1809.31
-48,34,1828.8
-48,35,1849.59
-48,36,1872.59
-48,37,1897.36
-48,38,1924.28
-48,39,1953.58
-48,40,1982.83
-48,41,2017.13
-48,42,2053.5
-48,43,2088.81
-48,44,2126.86
-48,45,2169.75
-48,46,2211.2
-48,47,2258.39
-48,48,2304.73
-48,49,2353.8
-48,50,2403.8
-47,-50,7058.81
-47,-49,6914.89
-47,-48,6769.58
-47,-47,6627.95
-47,-46,6485.73
-47,-45,6350.26
-47,-44,6212.73
-47,-43,6080.1
-47,-42,5947.66
-47,-41,5818.69
-47,-40,5690.55
-47,-39,5562.63
-47,-38,5438.07
-47,-37,5314.86
-47,-36,5197.5
-47,-35,5081.17
-47,-34,4963.43
-47,-33,4847.08
-47,-32,4736.69
-47,-31,4627.77
-47,-30,4519.42
-47,-29,4414.88
-47,-28,4308.25
-47,-27,4207.15
-47,-26,4106.85
-47,-25,4009.69
-47,-24,3912.91
-47,-23,3819.75
-47,-22,3728.01
-47,-21,3635.92
-47,-20,3548.59
-47,-19,3462.57
-47,-18,3379.5
-47,-17,3295.26
-47,-16,3217.15
-47,-15,3139.01
-47,-14,3062.86
-47,-13,2989.81
-47,-12,2916.48
-47,-11,2845.25
-47,-10,2778.58
-47,-9,2712.44
-47,-8,2650.02
-47,-7,2586.02
-47,-6,2527.23
-47,-5,2469.86
-47,-4,2413.77
-47,-3,2358.29
-47,-2,2308.77
-47,-1,2256.71
-47,0,2209.92
-47,1,2162.62
-47,2,2118.41
-47,3,2077.28
-47,4,2038.11
-47,5,2000.17
-47,6,1964.99
-47,7,1927.63
-47,8,1897.2
-47,9,1868.24
-47,10,1839.93
-47,11,1813.76
-47,12,1789.81
-47,13,1766.54
-47,14,1745.42
-47,15,1727.74
-47,16,1714.25
-47,17,1698.41
-47,18,1685.2
-47,19,1677.12
-47,20,1669.82
-47,21,1660.76
-47,22,1659.19
-47,23,1657.85
-47,24,1657.25
-47,25,1658.77
-47,26,1663.75
-47,27,1668.41
-47,28,1677.37
-47,29,1686.9
-47,30,1699.79
-47,31,1713.67
-47,32,1728.42
-47,33,1747.53
-47,34,1767.29
-47,35,1788.41
-47,36,1811.95
-47,37,1839.12
-47,38,1867.87
-47,39,1896.2
-47,40,1931.0
-47,41,1963.2
-47,42,1998.45
-47,43,2036.35
-47,44,2077.21
-47,45,2121.12
-47,46,2162.97
-47,47,2207.75
-47,48,2256.84
-47,49,2306.24
-47,50,2360.22
-46,-50,6916.52
-46,-49,6771.53
-46,-48,6628.19
-46,-47,6486.12
-46,-46,6348.11
-46,-45,6209.62
-46,-44,6076.58
-46,-43,5941.69
-46,-42,5812.01
-46,-41,5682.74
-46,-40,5556.0
-46,-39,5432.76
-46,-38,5306.42
-46,-37,5186.96
-46,-36,5068.95
-46,-35,4949.66
-46,-34,4837.14
-46,-33,4721.36
-46,-32,4612.01
-46,-31,4503.19
-46,-30,4394.18
-46,-29,4291.15
-46,-28,4188.08
-46,-27,4087.41
-46,-26,3989.18
-46,-25,3889.25
-46,-24,3796.9
-46,-23,3702.96
-46,-22,3612.87
-46,-21,3523.28
-46,-20,3436.62
-46,-19,3351.04
-46,-18,3268.5
-46,-17,3185.19
-46,-16,3106.48
-46,-15,3032.19
-46,-14,2955.87
-46,-13,2881.68
-46,-12,2811.51
-46,-11,2742.92
-46,-10,2678.04
-46,-9,2611.64
-46,-8,2547.06
-46,-7,2486.45
-46,-6,2428.96
-46,-5,2371.85
-46,-4,2314.95
-46,-3,2263.53
-46,-2,2212.27
-46,-1,2163.2
-46,0,2116.4
-46,1,2071.11
-46,2,2025.88
-46,3,1988.23
-46,4,1947.26
-46,5,1912.01
-46,6,1875.79
-46,7,1844.39
-46,8,1812.43
-46,9,1782.08
-46,10,1755.57
-46,11,1730.53
-46,12,1707.6
-46,13,1687.8
-46,14,1666.11
-46,15,1651.24
-46,16,1638.44
-46,17,1622.43
-46,18,1611.62
-46,19,1604.85
-46,20,1594.32
-46,21,1589.77
-46,22,1588.15
-46,23,1587.39
-46,24,1587.15
-46,25,1591.22
-46,26,1597.54
-46,27,1603.71
-46,28,1612.35
-46,29,1623.73
-46,30,1636.83
-46,31,1652.56
-46,32,1668.55
-46,33,1687.73
-46,34,1708.37
-46,35,1732.23
-46,36,1755.66
-46,37,1784.5
-46,38,1812.49
-46,39,1842.64
-46,40,1876.1
-46,41,1909.62
-46,42,1947.03
-46,43,1988.27
-46,44,2029.41
-46,45,2070.89
-46,46,2115.11
-46,47,2164.33
-46,48,2210.19
-46,49,2263.37
-46,50,2315.6
-45,-50,6775.81
-45,-49,6629.18
-45,-48,6487.5
-45,-47,6349.43
-45,-46,6211.27
-45,-45,6075.17
-45,-44,5940.85
-45,-43,5808.79
-45,-42,5680.33
-45,-41,5551.47
-45,-40,5424.51
-45,-39,5300.68
-45,-38,5178.64
-45,-37,5059.4
-45,-36,4942.58
-45,-35,4827.2
-45,-34,4712.46
-45,-33,4598.72
-45,-32,4488.56
-45,-31,4381.08
-45,-30,4274.09
-45,-29,4170.6
-45,-28,4069.29
-45,-27,3968.11
-45,-26,3870.73
-45,-25,3775.56
-45,-24,3682.89
-45,-23,3590.02
-45,-22,3499.21
-45,-21,3411.25
-45,-20,3323.73
-45,-19,3241.0
-45,-18,3159.83
-45,-17,3078.21
-45,-16,3000.97
-45,-15,2925.12
-45,-14,2850.7
-45,-13,2779.76
-45,-12,2706.44
-45,-11,2640.59
-45,-10,2575.95
-45,-9,2511.51
-45,-8,2449.78
-45,-7,2389.34
-45,-6,2331.76
-45,-5,2275.39
-45,-4,2220.14
-45,-3,2168.07
-45,-2,2120.63
-45,-1,2071.83
-45,0,2025.02
-45,1,1982.08
-45,2,1938.85
-45,3,1899.49
-45,4,1859.06
-45,5,1826.0
-45,6,1791.79
-45,7,1759.86
-45,8,1728.41
-45,9,1701.19
-45,10,1675.12
-45,11,1652.22
-45,12,1628.66
-45,13,1608.74
-45,14,1590.84
-45,15,1574.56
-45,16,1559.68
-45,17,1550.04
-45,18,1540.29
-45,19,1530.29
-45,20,1523.56
-45,21,1524.05
-45,22,1520.48
-45,23,1519.33
-45,24,1520.5
-45,25,1525.6
-45,26,1530.57
-45,27,1538.74
-45,28,1548.82
-45,29,1560.33
-45,30,1574.99
-45,31,1592.07
-45,32,1609.41
-45,33,1631.0
-45,34,1651.24
-45,35,1675.49
-45,36,1699.46
-45,37,1729.41
-45,38,1758.91
-45,39,1791.68
-45,40,1824.61
-45,41,1861.51
-45,42,1900.22
-45,43,1939.09
-45,44,1981.55
-45,45,2025.13
-45,46,2069.92
-45,47,2117.96
-45,48,2167.86
-45,49,2221.07
-45,50,2277.16
-44,-50,6636.58
-44,-49,6492.28
-44,-48,6353.38
-44,-47,6213.69
-44,-46,6075.19
-44,-45,5940.65
-44,-44,5807.09
-44,-43,5676.8
-44,-42,5548.48
-44,-41,5419.91
-44,-40,5295.43
-44,-39,5171.03
-44,-38,5053.6
-44,-37,4932.67
-44,-36,4815.74
-44,-35,4702.67
-44,-34,4590.39
-44,-33,4476.36
-44,-32,4368.74
-44,-31,4260.52
-44,-30,4156.96
-44,-29,4052.04
-44,-28,3954.26
-44,-27,3853.87
-44,-26,3755.85
-44,-25,3659.85
-44,-24,3567.26
-44,-23,3477.56
-44,-22,3387.23
-44,-21,3303.09
-44,-20,3215.22
-44,-19,3133.77
-44,-18,3051.45
-44,-17,2973.73
-44,-16,2897.1
-44,-15,2820.51
-44,-14,2748.43
-44,-13,2679.21
-44,-12,2607.28
-44,-11,2541.41
-44,-10,2475.5
-44,-9,2414.44
-44,-8,2352.28
-44,-7,2292.6
-44,-6,2234.8
-44,-5,2179.91
-44,-4,2129.12
-44,-3,2077.87
-44,-2,2028.9
-44,-1,1982.98
-44,0,1937.93
-44,1,1893.5
-44,2,1851.97
-44,3,1813.49
-44,4,1774.43
-44,5,1740.65
-44,6,1707.62
-44,7,1676.75
-44,8,1646.53
-44,9,1621.3
-44,10,1594.18
-44,11,1572.88
-44,12,1552.25
-44,13,1532.87
-44,14,1517.27
-44,15,1502.69
-44,16,1488.46
-44,17,1477.56
-44,18,1467.57
-44,19,1460.77
-44,20,1456.31
-44,21,1452.46
-44,22,1452.58
-44,23,1454.84
-44,24,1456.76
-44,25,1461.37
-44,26,1469.36
-44,27,1476.67
-44,28,1486.56
-44,29,1502.03
-44,30,1516.43
-44,31,1534.48
-44,32,1550.01
-44,33,1573.54
-44,34,1595.89
-44,35,1619.98
-44,36,1647.76
-44,37,1676.73
-44,38,1709.52
-44,39,1739.88
-44,40,1777.49
-44,41,1813.76
-44,42,1851.94
-44,43,1892.25
-44,44,1936.32
-44,45,1980.46
-44,46,2027.51
-44,47,2078.32
-44,48,2127.72
-44,49,2180.0
-44,50,2237.05
-43,-50,6500.16
-43,-49,6356.99
-43,-48,6216.61
-43,-47,6079.03
-43,-46,5942.81
-43,-45,5808.04
-43,-44,5676.19
-43,-43,5546.74
-43,-42,5421.0
-43,-41,5293.14
-43,-40,5170.03
-43,-39,5045.42
-43,-38,4927.25
-43,-37,4809.79
-43,-36,4692.83
-43,-35,4578.99
-43,-34,4466.41
-43,-33,4357.24
-43,-32,4250.36
-43,-31,4142.75
-43,-30,4039.83
-43,-29,3938.74
-43,-28,3838.61
-43,-27,3738.28
-43,-26,3642.04
-43,-25,3549.45
-43,-24,3455.76
-43,-23,3365.89
-43,-22,3279.87
-43,-21,3194.21
-43,-20,3108.6
-43,-19,3026.96
-43,-18,2947.4
-43,-17,2869.18
-43,-16,2793.36
-43,-15,2717.72
-43,-14,2646.01
-43,-13,2576.2
-43,-12,2509.12
-43,-11,2442.18
-43,-10,2378.74
-43,-9,2319.69
-43,-8,2257.47
-43,-7,2198.21
-43,-6,2144.64
-43,-5,2088.39
-43,-4,2035.27
-43,-3,1986.45
-43,-2,1939.1
-43,-1,1891.46
-43,0,1848.55
-43,1,1805.63
-43,2,1767.61
-43,3,1729.76
-43,4,1693.41
-43,5,1658.54
-43,6,1627.61
-43,7,1598.04
-43,8,1568.48
-43,9,1545.7
-43,10,1518.32
-43,11,1496.65
-43,12,1478.86
-43,13,1459.6
-43,14,1442.28
-43,15,1429.01
-43,16,1417.41
-43,17,1407.35
-43,18,1400.66
-43,19,1392.85
-43,20,1390.1
-43,21,1387.41
-43,22,1388.05
-43,23,1388.81
-43,24,1391.41
-43,25,1398.68
-43,26,1407.74
-43,27,1415.97
-43,28,1429.29
-43,29,1444.1
-43,30,1458.14
-43,31,1477.41
-43,32,1497.34
-43,33,1520.04
-43,34,1542.77
-43,35,1569.16
-43,36,1596.4
-43,37,1626.48
-43,38,1659.74
-43,39,1694.34
-43,40,1728.96
-43,41,1765.0
-43,42,1807.75
-43,43,1850.24
-43,44,1892.43
-43,45,1939.63
-43,46,1988.46
-43,47,2038.48
-43,48,2089.85
-43,49,2143.83
-43,50,2199.41
-42,-50,6364.31
-42,-49,6223.87
-42,-48,6083.05
-42,-47,5946.67
-42,-46,5810.19
-42,-45,5679.51
-42,-44,5548.52
-42,-43,5418.99
-42,-42,5291.83
-42,-41,5166.41
-42,-40,5044.53
-42,-39,4922.84
-42,-38,4803.07
-42,-37,4686.56
-42,-36,4570.24
-42,-35,4458.07
-42,-34,4349.73
-42,-33,4237.07
-42,-32,4134.21
-42,-31,4028.12
-42,-30,3923.96
-42,-29,3823.57
-42,-28,3723.87
-42,-27,3626.85
-42,-26,3532.24
-42,-25,3434.95
-42,-24,3348.84
-42,-23,3258.68
-42,-22,3173.22
-42,-21,3088.16
-42,-20,3003.6
-42,-19,2924.53
-42,-18,2844.2
-42,-17,2766.83
-42,-16,2690.1
-42,-15,2618.37
-42,-14,2546.65
-42,-13,2478.89
-42,-12,2412.23
-42,-11,2347.11
-42,-10,2283.65
-42,-9,2224.14
-42,-8,2164.55
-42,-7,2106.98
-42,-6,2050.84
-42,-5,1998.35
-42,-4,1948.79
-42,-3,1900.46
-42,-2,1852.13
-42,-1,1807.67
-42,0,1764.19
-42,1,1721.96
-42,2,1684.5
-42,3,1647.09
-42,4,1611.31
-42,5,1578.98
-42,6,1547.04
-42,7,1521.36
-42,8,1491.09
-42,9,1468.44
-42,10,1445.53
-42,11,1422.73
-42,12,1405.44
-42,13,1387.8
-42,14,1370.42
-42,15,1358.13
-42,16,1348.94
-42,17,1336.71
-42,18,1332.29
-42,19,1327.58
-42,20,1323.09
-42,21,1321.56
-42,22,1324.86
-42,23,1326.5
-42,24,1332.19
-42,25,1338.4
-42,26,1347.02
-42,27,1358.92
-42,28,1371.01
-42,29,1387.15
-42,30,1404.79
-42,31,1423.59
-42,32,1443.55
-42,33,1467.5
-42,34,1491.49
-42,35,1519.01
-42,36,1548.96
-42,37,1578.75
-42,38,1612.82
-42,39,1646.45
-42,40,1683.73
-42,41,1721.28
-42,42,1762.17
-42,43,1806.94
-42,44,1853.25
-42,45,1898.19
-42,46,1946.77
-42,47,1998.81
-42,48,2051.65
-42,49,2108.48
-42,50,2164.26
-41,-50,6230.9
-41,-49,6091.03
-41,-48,5954.57
-41,-47,5818.49
-41,-46,5684.05
-41,-45,5550.64
-41,-44,5421.52
-41,-43,5292.17
-41,-42,5168.49
-41,-41,5044.68
-41,-40,4920.8
-41,-39,4799.94
-41,-38,4681.79
-41,-37,4566.32
-41,-36,4452.22
-41,-35,4341.24
-41,-34,4231.3
-41,-33,4123.88
-41,-32,4016.92
-41,-31,3913.08
-41,-30,3812.75
-41,-29,3712.04
-41,-28,3614.42
-41,-27,3516.16
-41,-26,3423.24
-41,-25,3331.61
-41,-24,3242.46
-41,-23,3151.51
-41,-22,3067.53
-41,-21,2982.28
-41,-20,2900.75
-41,-19,2820.51
-41,-18,2742.33
-41,-17,2667.51
-41,-16,2594.27
-41,-15,2519.42
-41,-14,2450.46
-41,-13,2382.89
-41,-12,2318.16
-41,-11,2251.59
-41,-10,2192.91
-41,-9,2129.13
-41,-8,2072.06
-41,-7,2015.06
-41,-6,1963.81
-41,-5,1912.9
-41,-4,1861.63
-41,-3,1813.04
-41,-2,1768.26
-41,-1,1723.62
-41,0,1682.23
-41,1,1640.07
-41,2,1604.02
-41,3,1567.92
-41,4,1534.0
-41,5,1500.25
-41,6,1471.54
-41,7,1440.38
-41,8,1415.52
-41,9,1394.78
-41,10,1370.12
-41,11,1352.28
-41,12,1333.05
-41,13,1315.99
-41,14,1301.52
-41,15,1291.54
-41,16,1280.8
-41,17,1273.15
-41,18,1268.44
-41,19,1264.1
-41,20,1260.38
-41,21,1260.52
-41,22,1262.15
-41,23,1267.78
-41,24,1274.1
-41,25,1281.43
-41,26,1290.31
-41,27,1303.52
-41,28,1316.88
-41,29,1333.47
-41,30,1351.19
-41,31,1371.61
-41,32,1393.41
-41,33,1418.24
-41,34,1443.25
-41,35,1471.88
-41,36,1499.88
-41,37,1532.01
-41,38,1568.7
-41,39,1602.94
-41,40,1640.43
-41,41,1680.21
-41,42,1723.14
-41,43,1766.42
-41,44,1812.27
-41,45,1860.43
-41,46,1911.35
-41,47,1964.03
-41,48,2019.31
-41,49,2073.11
-41,50,2132.29
-40,-50,6099.8
-40,-49,5962.12
-40,-48,5824.83
-40,-47,5688.32
-40,-46,5556.58
-40,-45,5426.52
-40,-44,5297.0
-40,-43,5167.73
-40,-42,5043.5
-40,-41,4920.9
-40,-40,4799.27
-40,-39,4680.37
-40,-38,4562.55
-40,-37,4447.17
-40,-36,4337.06
-40,-35,4227.7
-40,-34,4117.11
-40,-33,4009.68
-40,-32,3904.5
-40,-31,3800.72
-40,-30,3697.83
-40,-29,3602.14
-40,-28,3504.49
-40,-27,3408.53
-40,-26,3316.28
-40,-25,3225.31
-40,-24,3135.21
-40,-23,3048.27
-40,-22,2963.79
-40,-21,2879.81
-40,-20,2800.47
-40,-19,2720.85
-40,-18,2642.04
-40,-17,2570.14
-40,-16,2497.03
-40,-15,2424.35
-40,-14,2354.38
-40,-13,2287.47
-40,-12,2222.93
-40,-11,2162.69
-40,-10,2101.15
-40,-9,2039.59
-40,-8,1983.89
-40,-7,1929.37
-40,-6,1875.99
-40,-5,1826.83
-40,-4,1775.99
-40,-3,1730.31
-40,-2,1683.73
-40,-1,1640.88
-40,0,1599.2
-40,1,1559.22
-40,2,1524.51
-40,3,1488.58
-40,4,1454.93
-40,5,1425.6
-40,6,1393.83
-40,7,1369.1
-40,8,1345.77
-40,9,1320.44
-40,10,1300.49
-40,11,1280.5
-40,12,1264.06
-40,13,1247.93
-40,14,1235.22
-40,15,1225.84
-40,16,1216.77
-40,17,1207.44
-40,18,1204.39
-40,19,1200.85
-40,20,1199.9
-40,21,1201.89
-40,22,1203.92
-40,23,1209.59
-40,24,1215.69
-40,25,1224.17
-40,26,1235.84
-40,27,1248.74
-40,28,1263.04
-40,29,1281.4
-40,30,1298.49
-40,31,1319.82
-40,32,1343.59
-40,33,1369.8
-40,34,1397.47
-40,35,1427.12
-40,36,1458.35
-40,37,1487.94
-40,38,1523.93
-40,39,1562.55
-40,40,1599.21
-40,41,1641.88
-40,42,1684.77
-40,43,1726.79
-40,44,1775.68
-40,45,1824.09
-40,46,1877.03
-40,47,1930.53
-40,48,1984.91
-40,49,2041.17
-40,50,2100.25
-39,-50,5972.2
-39,-49,5832.95
-39,-48,5696.27
-39,-47,5563.9
-39,-46,5431.74
-39,-45,5300.75
-39,-44,5172.71
-39,-43,5047.73
-39,-42,4922.65
-39,-41,4803.33
-39,-40,4683.13
-39,-39,4563.84
-39,-38,4447.28
-39,-37,4335.11
-39,-36,4221.53
-39,-35,4110.91
-39,-34,4003.06
-39,-33,3897.84
-39,-32,3793.28
-39,-31,3691.95
-39,-30,3589.84
-39,-29,3494.19
-39,-28,3396.09
-39,-27,3302.82
-39,-26,3210.72
-39,-25,3119.37
-39,-24,3033.83
-39,-23,2948.33
-39,-22,2861.78
-39,-21,2780.25
-39,-20,2701.68
-39,-19,2624.18
-39,-18,2548.39
-39,-17,2472.47
-39,-16,2401.39
-39,-15,2331.83
-39,-14,2261.02
-39,-13,2197.2
-39,-12,2132.03
-39,-11,2072.33
-39,-10,2011.02
-39,-9,1952.41
-39,-8,1896.61
-39,-7,1842.44
-39,-6,1789.78
-39,-5,1741.43
-39,-4,1693.0
-39,-3,1646.31
-39,-2,1602.16
-39,-1,1561.52
-39,0,1522.03
-39,1,1484.01
-39,2,1447.84
-39,3,1413.78
-39,4,1380.79
-39,5,1350.66
-39,6,1322.53
-39,7,1297.9
-39,8,1272.71
-39,9,1249.7
-39,10,1231.57
-39,11,1212.38
-39,12,1196.98
-39,13,1182.7
-39,14,1170.04
-39,15,1161.2
-39,16,1153.4
-39,17,1147.42
-39,18,1143.96
-39,19,1139.65
-39,20,1141.78
-39,21,1141.86
-39,22,1147.42
-39,23,1152.81
-39,24,1160.29
-39,25,1171.38
-39,26,1181.94
-39,27,1197.27
-39,28,1214.02
-39,29,1229.79
-39,30,1249.98
-39,31,1271.94
-39,32,1295.99
-39,33,1323.04
-39,34,1351.02
-39,35,1382.77
-39,36,1412.63
-39,37,1445.81
-39,38,1481.17
-39,39,1521.34
-39,40,1560.1
-39,41,1604.94
-39,42,1649.89
-39,43,1693.09
-39,44,1741.16
-39,45,1791.83
-39,46,1842.35
-39,47,1896.2
-39,48,1952.86
-39,49,2011.64
-39,50,2071.98
-38,-50,5843.93
-38,-49,5708.34
-38,-48,5571.32
-38,-47,5439.43
-38,-46,5308.33
-38,-45,5177.79
-38,-44,5051.74
-38,-43,4927.43
-38,-42,4803.01
-38,-41,4683.36
-38,-40,4563.26
-38,-39,4447.34
-38,-38,4333.56
-38,-37,4220.45
-38,-36,4107.36
-38,-35,3995.43
-38,-34,3892.26
-38,-33,3787.07
-38,-32,3683.33
-38,-31,3582.42
-38,-30,3483.69
-38,-29,3386.34
-38,-28,3290.28
-38,-27,3198.9
-38,-26,3108.68
-38,-25,3020.68
-38,-24,2932.37
-38,-23,2848.57
-38,-22,2765.29
-38,-21,2683.6
-38,-20,2604.66
-38,-19,2527.83
-38,-18,2451.82
-38,-17,2377.97
-38,-16,2308.86
-38,-15,2237.91
-38,-14,2170.15
-38,-13,2108.3
-38,-12,2042.12
-38,-11,1981.35
-38,-10,1924.79
-38,-9,1866.23
-38,-8,1811.75
-38,-7,1757.3
-38,-6,1706.95
-38,-5,1658.23
-38,-4,1611.6
-38,-3,1566.06
-38,-2,1522.66
-38,-1,1483.24
-38,0,1444.69
-38,1,1406.94
-38,2,1372.91
-38,3,1338.94
-38,4,1308.28
-38,5,1277.85
-38,6,1252.25
-38,7,1225.62
-38,8,1205.45
-38,9,1181.71
-38,10,1163.85
-38,11,1145.95
-38,12,1133.46
-38,13,1119.22
-38,14,1108.9
-38,15,1099.51
-38,16,1092.04
-38,17,1086.97
-38,18,1084.05
-38,19,1083.57
-38,20,1084.44
-38,21,1089.43
-38,22,1092.85
-38,23,1098.43
-38,24,1108.29
-38,25,1117.74
-38,26,1131.01
-38,27,1145.5
-38,28,1163.98
-38,29,1183.19
-38,30,1203.03
-38,31,1227.4
-38,32,1251.96
-38,33,1280.55
-38,34,1307.46
-38,35,1338.13
-38,36,1373.22
-38,37,1406.99
-38,38,1441.91
-38,39,1484.87
-38,40,1523.08
-38,41,1567.88
-38,42,1611.52
-38,43,1658.36
-38,44,1707.34
-38,45,1758.06
-38,46,1811.91
-38,47,1867.08
-38,48,1925.46
-38,49,1982.04
-38,50,2044.47
-37,-50,5719.36
-37,-49,5582.35
-37,-48,5449.83
-37,-47,5316.17
-37,-46,5186.99
-37,-45,5057.04
-37,-44,4931.22
-37,-43,4809.4
-37,-42,4686.25
-37,-41,4567.41
-37,-40,4446.96
-37,-39,4332.69
-37,-38,4218.94
-37,-37,4105.94
-37,-36,3996.39
-37,-35,3888.29
-37,-34,3784.4
-37,-33,3679.3
